dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,sep_learning,beta,metric_name,metric_value,elapsed,seed
CiteSeer,3327,844,6,False,925,1,3327,0.0010,0.8000,2000,0.7400,0.8461,False,1.0000,AUC,0.9396,348,13
CiteSeer,3327,844,6,False,925,4,3327,0.0010,0.8000,2000,0.7400,0.7921,False,1.0000,AUC,0.9696,617,13
CiteSeer,3327,844,6,False,925,1,3327,0.0010,0.8000,2000,0.7400,0.6898,True,2.3278,AUC,0.9647,368,13
CiteSeer,3327,844,6,False,925,4,3327,0.0010,0.8000,2000,0.7400,0.5983,True,2.4350,AUC,0.9755,638,13
Cora,2708,554,7,False,358,1,2708,0.0010,0.8000,2000,0.8100,0.8876,False,1.0000,AUC,0.9122,208,13
Cora,2708,554,7,False,358,4,2708,0.0010,0.8000,2000,0.8100,0.8323,False,1.0000,AUC,0.9626,295,13
Cora,2708,554,7,False,358,1,2708,0.0010,0.8000,2000,0.8100,0.7998,True,2.1566,AUC,0.9339,221,13
Cora,2708,554,7,False,358,4,2708,0.0010,0.8000,2000,0.8100,0.6897,True,2.4100,AUC,0.9667,311,13
ogbl-citation2,2927963,128,0,False,128,1,4000,0.0010,0.8000,2000,0.0000,0.5001,False,1.0000,MRR,0.8334,198,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0010,0.8000,2000,0.0000,0.5410,False,1.0000,MRR,0.8337,394,13
ogbl-citation2,2927963,128,0,False,128,1,4000,0.0010,0.8000,2000,0.0000,0.4903,True,1.0328,MRR,0.8335,226,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0010,0.8000,2000,0.0000,0.4975,True,1.1426,MRR,0.8335,355,13
ogbl-collab,235868,128,0,False,80,1,4000,0.0010,0.8000,1000,0.0000,0.5371,False,1.0000,Hits@50,0.9266,477,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.5753,False,1.0000,Hits@50,0.9450,161,13
ogbl-collab,235868,128,0,False,80,1,4000,0.0010,0.8000,1000,0.0000,0.4334,True,1.3833,Hits@50,0.9450,102,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.4680,True,1.4210,Hits@50,0.9450,190,13
ogbl-ppa,576289,58,0,False,58,1,4000,0.0010,0.8000,1000,0.0000,0.6137,False,1.0000,Hits@100,0.9280,92,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.6504,False,1.0000,Hits@100,0.9383,160,13
ogbl-ppa,576289,58,0,False,58,1,4000,0.0010,0.8000,1000,0.0000,0.4897,True,1.6657,Hits@100,0.9280,101,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.5151,True,1.7277,Hits@100,0.9383,1291,13
Texas,183,143,5,False,425,1,183,0.0100,0.8000,2000,0.2100,0.3392,False,1.0000,AUC,0.8507,53,13
Texas,183,143,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.5052,False,1.0000,AUC,0.9067,52,13
Texas,183,143,5,False,425,1,183,0.0100,0.8000,2000,0.2100,0.1334,True,3.1726,AUC,0.8210,57,13
Texas,183,143,5,False,425,4,183,0.0100,0.8000,2000,0.2100,0.2327,True,8.2302,AUC,0.8831,57,13
Wisconsin,251,162,5,False,425,1,251,0.0100,0.8000,2000,0.1100,0.6233,False,1.0000,AUC,0.8710,54,13
Wisconsin,251,162,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.6053,False,1.0000,AUC,0.9632,54,13
Wisconsin,251,162,5,False,425,1,251,0.0100,0.8000,2000,0.1100,0.5170,True,4.5121,AUC,0.7864,58,13
Wisconsin,251,162,5,False,425,4,251,0.0100,0.8000,2000,0.1100,0.2633,True,7.3315,AUC,0.9386,57,13
Squirrel,5201,2089,5,False,300,1,3000,0.0010,0.8000,2000,0.2200,0.3697,False,1.7101,AUC,0.9397,293,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.2177,False,1.7716,AUC,0.9496,383,13
Squirrel,5201,2089,5,False,300,1,3000,0.0010,0.8000,2000,0.2200,0.3698,True,1.7089,AUC,0.9397,283,13
Squirrel,5201,2089,5,False,300,4,3000,0.0010,0.8000,2000,0.2200,0.2168,True,1.7678,AUC,0.9492,389,13
Chameleon,2277,2325,5,False,581,1,2277,0.0100,0.8000,1000,0.2300,0.5382,False,3.5352,AUC,0.9548,93,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.5014,False,4.1673,AUC,0.9673,132,13
Chameleon,2277,2325,5,False,581,1,2277,0.0100,0.8000,1000,0.2300,0.5385,True,3.5369,AUC,0.9546,95,13
Chameleon,2277,2325,5,False,581,4,2277,0.0100,0.8000,1000,0.2300,0.5026,True,4.1778,AUC,0.9676,132,13
Photo,7650,745,8,False,186,1,4000,0.0020,0.8000,2000,0.8300,0.7739,False,3.1162,AUC,0.9496,420,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.7724,False,3.2455,AUC,0.9551,604,13
Photo,7650,745,8,False,186,1,4000,0.0020,0.8000,2000,0.8300,0.7740,True,3.1146,AUC,0.9495,441,13
Photo,7650,745,8,False,186,4,4000,0.0020,0.8000,2000,0.8300,0.7717,True,3.2609,AUC,0.9558,612,13
Texas,183,1703,5,False,425,1,183,0.0100,0.8000,2000,0.2100,0.1337,False,3.3530,AUC,0.8112,65,13
